education_level,skill_level,count
Postgraduate Degree,1.00,1110.9
Postgraduate Degree,2.00,119.3
Postgraduate Degree,3.00,40.1
Postgraduate Degree,4.00,179.6
Postgraduate Degree,5.00,55.4
Graduate Diploma/Graduate Certificate,1.00,361.4
Graduate Diploma/Graduate Certificate,2.00,53.9
Graduate Diploma/Graduate Certificate,3.00,17.9
Graduate Diploma/Graduate Certificate,4.00,70.7
Graduate Diploma/Graduate Certificate,5.00,11.6
Bachelor Degree,1.00,2108.6
Bachelor Degree,2.00,383.1
Bachelor Degree,3.00,160.5
Bachelor Degree,4.00,574.3
Bachelor Degree,5.00,212.6
Advanced Diploma/Diploma,1.00,419.4
Advanced Diploma/Diploma,2.00,314.5
Advanced Diploma/Diploma,3.00,165.9
Advanced Diploma/Diploma,4.00,413
Advanced Diploma/Diploma,5.00,123.7
Certificate III/IV,1.00,326.4
Certificate III/IV,2.00,267.7
Certificate III/IV,3.00,801.2
Certificate III/IV,4.00,763
Certificate III/IV,5.00,263.6
Certificate I/II,1.00,33.1
Certificate I/II,2.00,23.1
Certificate I/II,3.00,40.4
Certificate I/II,4.00,76.5
Certificate I/II,5.00,53.2
Certificate n.f.d.,1.00,11.8
Certificate n.f.d.,2.00,11.9
Certificate n.f.d.,3.00,40
Certificate n.f.d.,4.00,45.5
Certificate n.f.d.,5.00,13.2
