Qualification,Employment Status,Count
Postgraduate Degree,"Employed 
full-time",1191.2
Postgraduate Degree,"Employed 
part-time",328.4
Postgraduate Degree,Unemployed,44
Graduate Diploma/Graduate Certificate,"Employed 
full-time",364
Graduate Diploma/Graduate Certificate,"Employed 
part-time",154.2
Graduate Diploma/Graduate Certificate,Unemployed,3.3
Bachelor Degree,"Employed 
full-time",2523.1
Bachelor Degree,"Employed 
part-time",924.8
Bachelor Degree,Unemployed,80.1
Advanced Diploma/Diploma,"Employed 
full-time",1014.8
Advanced Diploma/Diploma,"Employed 
part-time",429.2
Advanced Diploma/Diploma,Unemployed,36.6
Certificate III/IV,"Employed 
full-time",1814.2
Certificate III/IV,"Employed 
part-time",616.6
Certificate III/IV,Unemployed,89.3
Certificate I/II,"Employed 
full-time",137.1
Certificate I/II,"Employed 
part-time",87.4
Certificate I/II,Unemployed,15
Certificate n.f.d.,"Employed 
full-time",95.4
Certificate n.f.d.,"Employed 
part-time",33.4
Certificate n.f.d.,Unemployed,1.8
