Qualification,Gender,Count
Postgraduate Degree,Male,833.3
Postgraduate Degree,Female,932
Graduate Diploma/Graduate Certificate,Male,239.8
Graduate Diploma/Graduate Certificate,Female,432.4
Bachelor Degree,Male,1836.5
Bachelor Degree,Female,2334.8
Advanced Diploma/Diploma,Male,855.2
Advanced Diploma/Diploma,Female,1031.2
Certificate III/IV,Male,1975.8
Certificate III/IV,Female,1218.7
Certificate I/II,Male,161.7
Certificate I/II,Female,196.3
Certificate n.f.d.,Male,86.3
Certificate n.f.d.,Female,66.2
