education_level,skill_level,count
Postgraduate Degree,1,1110.9
Postgraduate Degree,2,119.3
Postgraduate Degree,3,40.1
Postgraduate Degree,4,179.6
Postgraduate Degree,5,55.4
Graduate Diploma/Graduate Certificate,1,361.4
Graduate Diploma/Graduate Certificate,2,53.9
Graduate Diploma/Graduate Certificate,3,17.9
Graduate Diploma/Graduate Certificate,4,70.7
Graduate Diploma/Graduate Certificate,5,11.6
Bachelor Degree,1,2108.6
Bachelor Degree,2,383.1
Bachelor Degree,3,160.5
Bachelor Degree,4,574.3
Bachelor Degree,5,212.6
Advanced Diploma/Diploma,1,419.4
Advanced Diploma/Diploma,2,314.5
Advanced Diploma/Diploma,3,165.9
Advanced Diploma/Diploma,4,413
Advanced Diploma/Diploma,5,123.7
Certificate III/IV,1,326.4
Certificate III/IV,2,267.7
Certificate III/IV,3,801.2
Certificate III/IV,4,763
Certificate III/IV,5,263.6
Certificate I/II,1,33.1
Certificate I/II,2,23.1
Certificate I/II,3,40.4
Certificate I/II,4,76.5
Certificate I/II,5,53.2
Certificate n.f.d.,1,11.8
Certificate n.f.d.,2,11.9
Certificate n.f.d.,3,40
Certificate n.f.d.,4,45.5
Certificate n.f.d.,5,13.2
