Industry,Skill level,Count
Agriculture forestry and fishing,1,161.9
Agriculture forestry and fishing,2,14.0
Agriculture forestry and fishing,3,13.0
Agriculture forestry and fishing,4,45.5
Agriculture forestry and fishing,5,65.0
Mining,1,71.7
Mining,2,28.4
Mining,3,47.6
Mining,4,101.5
Mining,5,11.4
Manufacturing,1,221.1
Manufacturing,2,63.6
Manufacturing,3,221.5
Manufacturing,4,230.6
Manufacturing,5,150.9
Electricity gas water and waste services,1,84.1
Electricity gas water and waste services,2,29.0
Electricity gas water and waste services,3,32.4
Electricity gas water and waste services,4,44.4
Electricity gas water and waste services,5,16.8
Construction,1,213.2
Construction,2,106.9
Construction,3,635.5
Construction,4,247.4
Construction,5,142.7
Wholesale trade,1,133.9
Wholesale trade,2,26.8
Wholesale trade,3,30.6
Wholesale trade,4,140.4
Wholesale trade,5,41.5
Retail trade,1,132.8
Retail trade,2,181.3
Retail trade,3,69.7
Retail trade,4,224.0
Retail trade,5,649.9
Accommodation and food services,1,19.1
Accommodation and food services,2,247.1
Accommodation and food services,3,40.7
Accommodation and food services,4,267.5
Accommodation and food services,5,350.8
Transport postal and warehousing,1,106.0
Transport postal and warehousing,2,33.6
Transport postal and warehousing,3,26.7
Transport postal and warehousing,4,449.4
Transport postal and warehousing,5,96.4
Information media and telecommunications,1,102.0
Information media and telecommunications,2,27.6
Information media and telecommunications,3,31.9
Information media and telecommunications,4,34.1
Information media and telecommunications,5,10.3
Financial and insurance services,1,252.6
Financial and insurance services,2,71.1
Financial and insurance services,3,33.7
Financial and insurance services,4,155.9
Financial and insurance services,5,3.8
Rental hiring and real estate services,1,47.5
Rental hiring and real estate services,2,44.2
Rental hiring and real estate services,3,91.7
Rental hiring and real estate services,4,31.3
Rental hiring and real estate services,5,14.0
Professional scientific and technical services,1,978.5
Professional scientific and technical services,2,142.3
Professional scientific and technical services,3,59.9
Professional scientific and technical services,4,103.6
Professional scientific and technical services,5,20.4
Administrative and support services,1,89.7
Administrative and support services,2,44.5
Administrative and support services,3,54.4
Administrative and support services,4,85.2
Administrative and support services,5,155.5
Public administration and safety,1,391.9
Public administration and safety,2,166.6
Public administration and safety,3,53.7
Public administration and safety,4,219.1
Public administration and safety,5,81.0
Education and training,1,772.8
Education and training,2,53.8
Education and training,3,53.6
Education and training,4,269.1
Education and training,5,35.1
Health care and social assistance,1,1033.9
Health care and social assistance,2,261.3
Health care and social assistance,3,52.5
Health care and social assistance,4,822.5
Health care and social assistance,5,87.8
Arts and recreation services,1,85.5
Arts and recreation services,2,28.9
Arts and recreation services,3,54.1
Arts and recreation services,4,59.4
Arts and recreation services,5,35.1
Other services,1,58.1
Other services,2,44.4
Other services,3,256.3
Other services,4,121.5
Other services,5,28.9
